input,output,type,expected_answer,generated_answer,difficulty,source_examples,timestamp,verification_status,solution,extracted_expression,explanation,all_options
Похідна функції,"Учень велосипедиста їде з постійною швидкістю 10 км/год. Через 2 години він зупиняється відпочити.  Через 30 хвилин він продовжує рух з такою ж швидкістю. 

1. Яка функція описує відстань, яку проїхав велосипедист за часом t годин?
2. Знайдіть похідну цієї функції.
3. Що означає результат знайти похідну в цьому випадку?

##",task,30,"1. Функція відстані:
    * y = 20 + 10t, якщо 0 ≤ t ≤ 2.5
    * y = 25 + 10(t - 2.5), якщо t > 2.5
2. Похідна функції: 10
3. Швидкість велосипедиста постійна і дорівнює 10 км/год.",easy,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T15:57:51.809939,verified,"1. **Функція відстані:**

*  Спочатку велосипедист їздить 2 години з швидкістю 10 км/год, що дає йому проїхати 2 * 10 = 20 км.
*  Після 30 хвилин (0.5 години) він проїхав ще 0.5 * 10 = 5 км.
*  Отже, загальна відстань, яку він проїхав за час t годин, можна описати функцією: 
    *   y = 20 + 10t, якщо 0 ≤ t ≤ 2.5

    *   y = 25 + 10(t - 2.5), якщо t > 2.5

2. **Похідна функції:**

* Похідна функції показує швидкість зміни відстані за часом.
*  У цьому випадку похідна є постійною величиною 10, оскільки велосипедист рухається з постійною швидкістю.

3. **Значення похідної:**

*  Знайшовши похідну функції, ми отримали 10. Це означає, що велосипедист рухається зі швидкістю 10 км/год.

##",20+10,,
Похідна функції,"Машина рухається з постійною прискоренням. За 5 секунд її швидкість зросла з 10 м/с до 25 м/с. 

Яка швидкість машини через 10 секунд після початку руху?

##",task,40,Швидкість машини через 10 секунд після початку руху буде 40 м/с.,medium,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T15:58:04.139751,verified,"1. **Знайдемо прискорення машини:** 
Прискорення - це зміна швидкості за одиницю часу. 
Можна записати це математично як: 
  * a = (v₂ - v₁) / t
   де: 
     * a - прискорення
     * v₁ - початкова швидкість
     * v₂ - кінцева швидкість
     * t - час

   Підставимо значення з формулювання задачі: a = (25 м/с - 10 м/с) / 5 с = 3 м/с²

2. **Знайдемо швидкість машини через 10 секунд:**

   Для цього використаємо формулу:
   * v = v₁ + a * t
    де: 
      * v - кінцева швидкість
      * v₁ - початкова швидкість
      * a - прискорення
      * t - час

   Підставимо значення: v = 10 м/с + 3 м/с² * 10 с = 10 м/с + 30 м/с = 40 м/с

##",40,,
Похідна функції,"На фірмі ""Електроніка"" випускають смартфони, вартість виробництва яких відповідає функції  C(x) = 10000 + 50x, де x - кількість вироблених смартфонів за місяць. Вартість продажу одного смартфона визначається функцією S(x) = 200x - 0.2x², де x - кількість смартфонів.

a) Знайдіть функцію доходу D(x), яка виражає прибуток від продажу смартфонів.
b) Знайдіть кількість смартфонів, яку потрібно виробити та продати, щоб досягти максимального прибутку.
c) Визначте максимальний прибуток.
d) Похідна функції доходу D(x) - чи це зростаюча чи спадна функція? Який її геометричний зміст?

##",task,150,"a) Функція доходу: D(x) = 150x - 0.2x² - 10000
b) Для досягнення",hard,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T15:58:27.878046,verified,"**a) Функція доходу:**

Прибуток (D(x)) дорівнює різниці між доходом (S(x)) від продажу та витратами (C(x)) на виробництво:
D(x) = S(x) - C(x)
D(x) = (200x - 0.2x²) - (10000 + 50x)
D(x) = 150x - 0.2x² - 10000

**b) Кількість смартфонів для максимального прибутку:**

Для знаходження кількості смартфонів, які забезпечують максимальний прибуток, потрібно знайти максимум функції D(x).  Це можна зробити, знайшовши похідну функції D(x) і прирівнявши її до нуля:

D'(x) = 150 - 0.4x
0 = 150 - 0.4x
0.4x = 150
x = 375

**c) Максимальний прибуток:**

Щоб знайти максимальний прибуток, підставимо значення x = 375 в функцію D(x):

D(375) = 150 * 375 - 0.2 * 375² - 10000 
D(375) = 56250 - 28125 - 10000
D(375) = 18125

**d) Похідна функції доходу:**

D'(x) = 150 - 0.4x

Це спадна функція, оскільки коефіцієнт при x ( -0.4) є від'ємним. 

Геометричний зміст похідної функції D'(x) - це нахил дотичної лінії до графіка функції доходу D(x) в точці x.  Оскільки похідна негативна, то нахил дотичної лінії завжди негативний, що означає, що графік функції доходу має спадаючу тенденцію.


##",150,,
Похідна функції,"Яка з наведених величин є похідною функції y = 5x – 6?
A) 5
B) 5x
C) 6
D) -5x
",quiz,A) 5,5,easy,[],2025-12-23T15:58:32.832271,quiz,,,"Похідна функції y = 5x – 6 є 5. Це тому, що похідна лінійної функції дорівнює коефіцієнту x.","['5', '5x', '6', '-5x']"
Похідна функції,"Яка з наданих формул **не** виражає геометричний зміст похідної функції в точці?
A) y' = tan(α), де α — кут нахилу дотичної до графіка функції в точці.
B) y' = lim(h->0) (f(x+h) - f(x))/h
C) y' = k, де k — коефіцієнт нахилу дотичної до графіка функції в точці.
D) y' = (f(x+Δx) - f(x))/Δx
",quiz,D) y' = (f(x+Δx) - f(x))/Δx,y' = (f(x+Δx) - f(x))/Δx,medium,[],2025-12-23T15:58:41.114673,quiz,,,"Варіант D)  - це формула для обчислення похідної за визначенням, але вона не є виразом геометричного змісту.  Визначення похідної за визначенням дає нам похідну як ліміт відношення прирістів, тоді як варіанти A, B та C сформульовані через геометричні поняття (кут нахилу, коефіцієнт нахилу та дотична).","[""y' = tan(α), де α — кут нахилу дотичної до графіка функції в точці."", ""y' = lim(h->0) (f(x+h) - f(x))/h"", ""y' = k, де k — коефіцієнт нахилу дотичної до графіка функції в точці."", ""y' = (f(x+Δx) - f(x))/Δx""]"
Тригонометричні рівняння,"Дві двічі проміжні вежі висотою 10 метрів встановлені на відстані 20 метрів один від одного. На дні кожної вежі повішено стрічку. 
Якщо кут між горизонтальною лінією, що проходить через найнижчі точки веж, і стрічкою, що тягнеться від вершини першої вежі до найнижчої точки другої вежі, становить 30°, то скільки метрів завдовжки є стрічка, що тягнеться від вершини другої вежі до найнижчої точки першої вежі?

##",task,55,"Довжина стрічки, що тягнеться від вершини другої вежі до найнижчої точки першої вежі, становить приблизно **11.55 метрів**.",easy,"['alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf']",2025-12-23T15:59:05.089548,verified,"1. **Візуалізація:** Уявімо два трикутники - правокутні. Вершини трикутників - вершини веж, найнижчі точки веж та точки, де стрічки з'єднують вежі.

2. **Встановлення позначень:**
    - Нехай  `A` - вершина першої вежі, `B` - вершина другої вежі, `C` - найнижча точка першої вежі, `D` - найнижча точка другої вежі.
    - `AC` - відрізок, що зображує стрічку від вершини першої вежі до найнижчої точки другої вежі.
    - `BC` = 20 метрів - відстань між вежами.
    - `AB` = 10 метрів - висота веж.

3. **Використання тригонометрії:**

    - Знаємо кут  `ABC` = 30°

    - Завдання полягає в знаходженні довжини відрізка `AC`.

    - Можна застосувати функцію тангенса: `tg(ABC)` = `AC` / `BC`

4. **Обчислення:**
    - `tg(30°) = AC / 20`
    - `AC = 20 * tg(30°) = 20 * (√3 / 3) ≈ 11.55 метрів`

##",55,,
Тригонометричні рівняння,"У прямокутному трикутнику ABC, кут CAB дорівнює 30°.  Довжина гіпотенузи AC дорівнює 10 см. Знайти довжину сторони BC, використовуючи тригонометричні рівняння.

##",task,5,Довжина сторони BC дорівнює 5 см.,medium,"['alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf']",2025-12-23T15:59:17.159454,verified,"1. **Визначення:** 
   -  Оскільки трикутник прямокутний, ми можемо використовувати тригонометричні функції синус, косинус та тангенс. 
   -  Завданням є знайти довжину сторони BC, яка є протилежною стороною до кута CAB. 

2. **Вибір функції:**
   -  Оскільки ми знаємо гіпотенузу (AC) та шукаємо протилежну сторону (BC), найкраще використовувати функцію **синус**. 
   -  Співвідношення синуса кута дорівнює протилежній стороні, поділеної на гіпотенузу: **sin(CAB) = BC/AC**.

3. **Підстановка значень та розв'язування:**
   -  sin(30°) = BC / 10
   -  0.5 = BC / 10
   -  BC = 0.5 * 10 = 5 см

##",5,,
Тригонометричні рівняння,## ЗАДАЧА:,task,"5. **Враховуємо обмеження:**
   *  Визначимо, які з знайдених","5. **Враховуємо обмеження:**
   *  Визначимо, які з знайдених",hard,"['alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf', 'alhebra-i-pochatky-analizu-profilnyi-riven-pidruchnyk-dlia-10-klasu-zzso-nelin-ye-p.pdf']",2025-12-23T16:00:15.569145,no_expression_found,"На відрізку [0; 2π] знайдіть усі значення x, які задовольняють рівнянню:",,,
Тригонометричні рівняння,"Який з наведених виразів є розв'язком рівняння  sin 2x + cos x = 0?
A) x = ±π/6 + 2πk
B) x = π/6 + 2πk
C) x = π/3 + 2πk
D) x = -π/6 + 2πk

**
",quiz,A) x = ±π/6 + 2πk,x = ±π/6 + 2πk,easy,[],2025-12-23T16:00:25.151105,quiz,,,"**

Для розв'язування рівняння sin 2x + cos x = 0 потрібно використати тригонометричні ідентичності та метод розкладання на множники.

Після такої обробки рівняння зводиться до sin 2x = -cos x, а потім до 2sin x cos x = -cos x.  Далі, враховуючи, що cos x = 0 не є розв'язком, отримуємо:

2sin x = -1,  тобто sin x = -1/2.

Розв'язком цього рівняння є x = -π/6 + πk, де k - ціле число. 


 
 Замінюючи x =  -π/6 + πk у формулу для sin 2x, отримуємо x = ±π/6 + 2πk.","['x = ±π/6 + 2πk', 'x = π/6 + 2πk', 'x = π/3 + 2πk', 'x = -π/6 + 2πk\n\n**']"
Тригонометричні рівняння,"Яке з наведених рівнянь не зводиться до алгебраїчного рівняння?
A) 2sin²x - 1 = 0
B) cos²x - sin²x = 0
C) cos³x + sin³x = 1
D) tan(2x) = 2

**
",quiz,A) 2sin²x - 1 = 0,2sin²x - 1 = 0,medium,[],2025-12-23T16:00:34.754819,quiz,,,"**

*  Варіант A, B і D можна трансформувати до алгебраїчних рівнянь за допомогою тригонометричних тотожностей.

Наприклад:

*  A) 2sin²x - 1 = 0 -> sin²x = 1/2 -> sinx = ±√(1/2) 
*  B) cos²x - sin²x = 0 -> cos²x = sin²x -> cosx = ±sinx

*  D) tan(2x) = 2 -> (sin(2x))/cos(2x) = 2 -> sin(2x) = 2cos(2x) ->

*  Варіант C) cos³x + sin³x = 1 не має прямого перетворення до алгебраїчного рівняння. Це рівняння не зводиться до простої форми за допомогою стандартних тригонометричних тотожностей.","['2sin²x - 1 = 0', 'cos²x - sin²x = 0', 'cos³x + sin³x = 1', 'tan(2x) = 2\n\n**']"
Властивості паралелограма,"У паралелограмі ABCD довжина сторони AB дорівнює 8 см, а довжина сторони BC дорівнює 12 см. Знайдіть площу цього паралелограма, якщо кут ABC дорівнює 60°.

##",task,14,"Площа паралелограма ABCD дорівнює приблизно 83,14 см².",easy,"['gymnasia-merzlyak-geometry-9-klas.pdf', 'geometryya-10-klas-bevz-osvita.pdf', 'merzlyak-ag-geometriya-prof-riven-11-kl.pdf']",2025-12-23T16:00:44.523255,verified,"**1. Визначимо формулу для розрахунку площі паралелограма:**

Площа паралелограма дорівнює добутку двох його сторін на синус кута між ними:

S = a * b * sin(C)

де:

* a і b - сторони паралелограма
* C - кут між сторонами

**2. Підставимо відомі дані в формулу:**

S = 8 см * 12 см * sin(60°)

**3. Розв'яжемо тригонометричний вираз:**

sin(60°) = √3 / 2

**4. Підставимо значення синуса в формулу:**

S = 8 см * 12 см * (√3 / 2)

**5. Проведемо спрощення:**

S = 48 см * √3

S ≈ 83.14 см²

##",14,,
Властивості паралелограма,"У паралелограмі ABCD, сторона AB = 8 см, а сторона AC = 10 см. Діагональ BD перетинає сторону AB у точці E, причому AE = 3 см. Знайдіть площу паралелограма.

##",task,24,Площа паралелограма ABCD дорівнює 24 см².,medium,"['gymnasia-merzlyak-geometry-9-klas.pdf', 'geometryya-10-klas-bevz-osvita.pdf', 'merzlyak-ag-geometriya-prof-riven-11-kl.pdf']",2025-12-23T16:00:54.109812,verified,"**1. Знайдемо довжину відрізка BE:**

Оскільки BD є діагоналлю паралелограма, то AE = EB = 3 см.

**2. Використовуємо властивість паралелограма:**

*  Проекція діагоналі на одну з сторін паралелограма дорівнює площі паралелограма.

**3. Обчислюємо площу паралелограма:**

* Площа паралелограма = довжина сторони * висота.
* Висота паралелограма дорівнює довжині відрізка BE = 3 см.
* Площа паралелограма = 8 см * 3 см = 24 см²

##",24,,
Властивості паралелограма,"У прямокутному паралелограмі ABCD, кут при вершині A дорівнює 60°, а ребро AB = 8 см. Осьова симетрія паралелограму перетворює його в два рівні прямокутні трикутники. Знайдіть площу паралелограму.

##",task,3,16√3 см²,hard,"['gymnasia-merzlyak-geometry-9-klas.pdf', 'geometryya-10-klas-bevz-osvita.pdf', 'merzlyak-ag-geometriya-prof-riven-11-kl.pdf']",2025-12-23T16:01:11.396231,verified,"1. **Зображення**: Спочатку зобразимо паралелограм ABCD. Оскільки це прямокутний паралелограм, то його кути при вершинах A, B, C та D будуть прямими (90°) за винятком кута при вершині A, який дорівнює 60°.

2. **Діагональ**:  Згідно з властивостями прямокутних паралелограмів, діагоналі перетинаються в середині. Тож, діагональ BD ділить кут A в половину (30°). Це означає, що ми можемо розглянути два рівні прямокутні трикутники ABD та CBD, формуючи з діагоналлю BD гіпотенузу.

3. **Геометрія**:  В прямокутному трикутнику ABD, ми знаємо кут при вершині A (30°) та гіпотенузу (діагональ BD). За допоміжним косинусом (cos 30° = √3/2) можна знайти довжину сторони AD, яка дорівнює половині сторони AB: AD = AB/2 * cos 30° = 8 см / 2 * √3 / 2 = 2√3 см.

4. **Площа**: Площа прямокутного трикутника дорівнює половині добутку катетів. Площа трикутника ABD: (AB * AD) / 2 = (8 см * 2√3 см) / 2 = 8√3 см².  

5. **Паралелограм**: Оскільки паралелограм складається з двох однакових трикутників, площа паралелограму дорівнює подвійній площі одного трикутника:  2 * 8√3 см² = **16√3 см²**.



##",3,,
Властивості паралелограма,"Яку з наведених фігур **не можна** зобразити будь-яким паралелограмом?
A) Ромб
B) Прямокутник
C) Трикутник
D) Квадрат
",quiz,C) Трикутник,Трикутник,easy,[],2025-12-23T16:01:17.280898,quiz,,,"В тексті підручника чітко йдеться, що будь-який паралелограм можна зобразити у вигляді квадрата, ромба, прямокутника чи іншого прямокутного паралелепіпеда.  Трикутник ж - це не вид паралелограма.","['Ромб', 'Прямокутник', 'Трикутник', 'Квадрат']"
Властивості паралелограма,"Яку з наведених далі тверджень про властивості паралелограма **не** можна вважати правильним?
A) Паралелограм можна зобразити у вигляді квадрата, ромба чи прямокутника.
B) У будь-якому паралелограмі всі кути рівні.
C) Сума односторонніх кутів паралелограма дорівнює 180°.
D) Дві протилежні сторони паралелограма завжди рівні.
",quiz,B) У будь-якому паралелограмі всі кути рівні.,У будь-якому паралелограмі всі кути рівні.,medium,[],2025-12-23T16:01:22.664381,quiz,,,"Неправдиве твердження - B.  У паралелограмі тільки протилежні кути рівні, а не всі.","['Паралелограм можна зобразити у вигляді квадрата, ромба чи прямокутника.', 'У будь-якому паралелограмі всі кути рівні.', 'Сума односторонніх кутів паралелограма дорівнює 180°.', 'Дві протилежні сторони паралелограма завжди рівні.']"
Системи лінійних рівнянь,"Маша купила 3 яблука та 2 груші за 27 гривень. Олександр купив 5 яблук та 3 груші за 45 гривень. Скільки коштує одне яблуко та одна груша?

##",task,9,"* Одне яблуко коштує 9 гривень.
* Одна груша коштує 0 гривень.",easy,"['Мерзляк_Якір_Алгебра_7кл..pdf', 'Мерзляк_Якір_Алгебра_7кл..pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T16:01:34.891894,verified,"Нехай:

*  x - вартість одного яблука
*  y - вартість однієї груші

Згідно з умовами задачі, можна скласти систему рівнянь:

3x + 2y = 27  (рівняння 1)
5x + 3y = 45  (рівняння 2)

**Помножимо рівняння 1 на -3 та рівняння 2 на 2, щоб коефіцієнти при y стали протилежні:**

-9x - 6y = -81 (рівняння 1')
10x + 6y = 90 (рівняння 2')

**Додамо рівняння 1' та 2':**

x = 9 

**Підставимо цю знайдену значення x у будь-яке з вихідних рівнянь. Наприклад, у рівняння 1:**

3 * 9 + 2y = 27
27 + 2y = 27
2y = 0
y = 0

**Отже, вартість одного яблука дорівнює 9 гривень, а вартість однієї груші - 0 гривень.**


##",9,,
Системи лінійних рівнянь,"У магазині продають каву в упаковках по 250 грамів і чорний чай по 100 грамів. Станіслав купив 3 упаковки кави та 5 упаковок чаю, витративши загалом 1550 гривень. Марія купила 2 упаковки кави та 4 упаковки чаю, витративши 1000 гривень. Знайдіть ціну однієї упаковки кави та однієї упаковки чаю.

##",task,600,"Ціна однієї упаковки кави - 600 гривень, а ціна однієї упаковки чаю - 50 гривень.",medium,"['Мерзляк_Якір_Алгебра_7кл..pdf', 'Мерзляк_Якір_Алгебра_7кл..pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T16:02:11.201705,verified,"Нехай: 
*  *x* - ціна однієї упаковки кави (грн)
*  *y* - ціна однієї упаковки чаю (грн)

За умовою задачі можна записати систему лінійних рівнянь:

1) 3*x* + 5*y* = 1550  (Станіслав)
2) 2*x* + 4*y* = 1000  (Марія)

Щоб розв'язати цю систему рівнянь, скористаємося методом підстановки:

1. **Знайдемо *x* з другого рівняння:**
   2*x* = 1000 - 4*y*
   *x* = 500 - 2*y*

2. **Підставимо цю вираз для *x* в перше рівняння:**
   3(500 - 2*y*) + 5*y* = 1550

3. **Розв'яжемо рівняння для *y*:**
   1500 - 6*y* + 5*y* = 1550
   - *y* = 50
   *y* = -50

4. **Підставимо знайдене значення *y* в будь-яке з рівнянь, щоб знайти *x*.** 
   Використаємо рівняння *x* = 500 - 2*y*:
   *x* = 500 - 2(-50)
   *x* = 500 + 100
   *x* = 600

##",600,,
Системи лінійних рівнянь,## ЗАДАЧА:,task,"Існує нескінченна кількість пар значень для ціни яблука (*x*) та ціни груші (*y*), що задовольняють умові задачі. Для отримання конкретних значень потрібно додаткова інформація, наприклад, ціна на одну з фруктів.","Існує нескінченна кількість пар значень для ціни яблука (*x*) та ціни груші (*y*), що задовольняють умові задачі. Для отримання конкретних значень потрібно додаткова інформація, наприклад, ціна на одну з фруктів.",hard,"['Мерзляк_Якір_Алгебра_7кл..pdf', 'Мерзляк_Якір_Алгебра_7кл..pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf']",2025-12-23T16:03:05.255826,no_expression_found,У селі Трьохіллівка проводяться дві щорічні ярмарки: весняна та осіння. ,,,
Системи лінійних рівнянь,"Яка з наведених пар чисел є розв’язком системи лінійних рівнянь: 
y = 2x + 1  і  y = -x + 4?
A) (1; 3)
B) (2; 5)
C) (3; 7)
D) (4; 9)
",quiz,A) (1; 3),(1; 3),easy,[],2025-12-23T16:03:12.672420,quiz,,,"Щоб знайти розв'язок системи, необхідно знайти точку, яка задовольняє обидва рівняння одночасно. Підставивши координати кожної пари чисел в обидва рівняння, ми перевіримо, чи виконується рівність.  Для варіанту A (1; 3)  обидва рівняння виконуються:
y = 2*1 + 1 = 3 
y = -1 + 4 = 3. 

 Інші варіанти не задовольняють обидва рівняння.","['(1; 3)', '(2; 5)', '(3; 7)', '(4; 9)']"
Системи лінійних рівнянь,"Яка з наведених систем лінійних рівнянь має саме два розв'язки?
A) y=2x−3,
      
  
2y=4x−6
B) y= −x+5,
    
  
y=x−1
C) 2x+y=5,
    
  
x−y=1
D) y=3x+1,
    
  
y=3x−1
",quiz,"C) 2x+y=5,
    
  
x−y=1","2x+y=5,
    
  
x−y=1",medium,[],2025-12-23T16:03:21.987183,quiz,,,"Системи лінійних рівнянь з двома змінними можуть мати:

* **Один розв'язок:**  якщо графіки рівнянь перетинаються в одній точці
* **Цілком багато розв'язків:** якщо графіки рівнянь збігаються
* **Жодного розв'язку:** якщо графіки рівнянь паралельні.

Варіант C відповідає випадку, коли графіки формуються під кутом, що не дорівнює 0 або 180 градусів (у випадку паралетності), отже система має саме два розв'язки (один для кожного з вищих).","['\uf8f1y=2x−3,\n    \uf8f2  \n  \uf8f3\n2y=4x−6', '\uf8f1y= −x+5,\n    \uf8f2\n  \uf8f3\ny=x−1', '\uf8f12x+y=5,\n    \uf8f2\n  \uf8f3\nx−y=1', '\uf8f1y=3x+1,\n    \uf8f2\n  \uf8f3\ny=3x−1']"
Показникові функції,"Маша має два рахунки в банку. На першому рахунку кожен місяць вона отримує 5% від суми на рахунку. На другому рахунку нараховується 2% від суми кожного місяця. На початку місяця на першому рахунку було 1200 грн, а на другому - 800 грн. Скільки грошей буде на обох рахунках наприкінці місяця?

##",task,2076,Наприкінці місяця на обох рахунках буде 2076 грн.,easy,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T16:03:55.222818,verified,"**1. Розрахуємо гроші на першому рахунку:**

*  5% від 1200 грн дорівнює (5/100) * 1200 = 60 грн.
*  Наприкінці місяця на першому рахунку буде 1200 + 60 = 1260 грн.

**2. Розрахуємо гроші на другому рахунку:**

* 2% від 800 грн дорівнює (2/100) * 800 = 16 грн.
* Наприкінці місяця на другому рахунку буде 800 + 16 = 816 грн.

**3.  Знайдемо суму грошей на обох рахунках:**

*  Всього на обох рахунках буде 1260 + 816 = 2076 грн.



##",2076,,
Показникові функції,"У дослідницькому центрі розробили новий тип акумуляторів, які мають особливість заряджатись за допомогою електричної енергії. Швидкість зарядки акумулятора залежить від потужності зарядного пристрою та кількості заряду, який вже міститься в акумуляторі.

Вчені встановили, що кількість заряду в акумуляторі (Q, в мА•год) за часом зарядки (t, в годинах) можна описати показниковою функцією:

Q(t) = 100(1 - e^(-0.2t))

Визначте:

1. Скільки часу знадобиться для того, щоб акумулятор набрав 50% своєї максимальної ємності?

2. Яка буде кількість заряду в акумуляторі через 20 годин зарядки?

##",task,47,"1.  Для того, щоб акумулятор набрав 50% своєї максимальної ємності, знадобиться приблизно **3.47 годин**.
2. Через 20 годин зарядки в акумуляторі буде приблизно **98.17 мА•год**.",medium,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T16:04:15.362180,verified,"1. **Визначимо час, необхідний для набору 50% заряду:**

   - Максимальна ємність акумулятора дорівнює 100 мА•год. 50% максимальної ємності становлять 50 мА•год.
   - Запишемо рівняння: Q(t) = 50.
   - Підставимо значення у формулу: 50 = 100(1 - e^(-0.2t))
   - Розв'яжемо рівняння:
     - 0.5 = 1 - e^(-0.2t)
     - e^(-0.2t) = 0.5
     - -0.2t = ln(0.5)
     - t = ln(0.5) / -0.2 ≈ 3.47 годин.

2. **Знайдемо кількість заряду через 20 годин:**

   - Підставимо t = 20 у формулу Q(t):
     - Q(20) = 100(1 - e^(-0.2 * 20))
     - Q(20) = 100(1 - e^(-4))
     - Q(20) ≈ 100(1 - 0.0183)
     - Q(20) ≈ 98.17 мА•год.

##",47,,
Показникові функції,"У дослідницькому центрі розробили новий вид біологічно активних компонентів, що розкладаються згідно зі законом експоненціального розпаду. Вважається, що 50% компонентів розкладаються за 24 години. Через скільки годин буде розпастися 10% компонентів?

##",task,39,Через приблизно 10.39 годин буде розпастися 10% компонентів.,hard,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'algebra-pidruchnyk-dlya-9-klasu-zagalnoosvitnih-navchalnyh-zakladiv-prokopenko-n-s-zahariychenko-yu-o-kinashuk-n-l.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T16:04:34.215140,verified,"**1. Визначимо формулу експоненціального розпаду:**

Загальна формула експоненціального розпаду виглядає так:

*N(t) = N₀ * e^(-kt)*

де:

* N(t) - кількість компонентів у момент часу t
* N₀ - початкова кількість компонентів
* k - постійна, що характеризує швидкість розпаду
* t - час

**2. Знайдемо постійну k:**

Ми знаємо, що 50% компонентів розкладаються за 24 години. Це означає, що:

*N(24) = 0.5 * N₀*

Підставимо цю інформацію в формулу:

*0.5 * N₀ = N₀ * e^(-k*24)*

Отримаємо:

*0.5 = e^(-k*24)*

Звідси:

*k*24 = ln(0.5)*

*k = ln(0.5) / 24*

**3. Знайдемо час, за який розпадається 10% компонентів:**

Треба знайти t, коли N(t) = 0.9 * N₀ (тобто 90% компонентів залишилися):

*0.9 * N₀ = N₀ * e^(-k*t)*

*0.9 = e^(-k*t)*

*ln(0.9) = -k*t*

*t = -ln(0.9) / k*

Підставимо значення k, яке ми знайшли раніше:

*t = -ln(0.9) / (ln(0.5) / 24)*

*t = -24 * ln(0.9) / ln(0.5)*

**4. Обчислимо результат:**

*t ≈ 10.39 годин*


##",39,,
Показникові функції,"**  Яке із наведених рівнянь має графік, що проходить через точку (2, 9)?
A) y = 2^x
B) y = 3^x
C) y = 4^(x-2)
D) y = 2^(x+1)

**
",quiz,A) y = 2^x,y = 2^x,easy,[],2025-12-23T16:04:44.081383,quiz,,,"**  Щоб знайти відповідне рівняння, потрібно підставити координати точки (2, 9) в кожне з них:

* А) y = 2^2 = 4, не співпадає з y = 9
* B) y = 3^2 = 9, співпадає з y = 9, але не враховує розташування точки на осі x
* C) y = 4^(2-2) = 4^0 = 1, **не співпадає** з y = 9. 
* D) y = 2^(2+1) = 2^3 = 8, не співпадає з y = 9

Всі варіанти, окрім C, не дають результату y = 9 при x = 2.","['y = 2^x', 'y = 3^x', 'y = 4^(x-2)', 'y = 2^(x+1)\n\n**']"
